protein,IHD,CM,ARR,VD,CHD,CCD,VOO,OTH
UniRef90_Q5SF07-2,0.0,0.013977555872470621,0.0,0.01626254415613837,0.0,0.0,0.0,0.0
UniRef90_S4R3U1,0.009267491823642561,0.009541248313319331,0.0,0.0,0.0,0.0,0.0,0.0
UniRef90_F1SID7,0.02257005738189546,0.07006841038941862,0.03245781544118752,0.11265101714673907,0.032643466737978966,0.02830358614311073,0.011128246841584774,0.04903759065488787
UniRef90_D6RF25,0.03281927851812879,0.006015529994238495,0.0,0.0,0.006723870947255788,0.0,0.0,0.016352275392278643
UniRef90_F2Z393,0.0,0.019085163644000955,0.0,0.0,0.0,0.0,0.0,0.006328883473316807
UniRef90_G1QX27,0.0,0.0,0.0,0.0,0.006728355117845843,0.0,0.0,0.0
UniRef90_H0YLC2,0.01642065916637961,0.0,0.0,0.007001822894411409,0.0,0.0,0.0,0.0
UniRef90_Q96NX8,0.0,0.0060195209377284465,0.0,0.0,0.006728331832499471,0.0,0.0,0.0
UniRef90_P29788,0.040987202447727834,0.01995335122526767,0.01893346921585606,0.01962243517011798,0.0,0.007355747046062708,0.007976725934807454,0.020020699959049173
UniRef90_A6QPU5,0.0,0.009541045183672265,0.0,0.0,0.0,0.0,0.0,0.0
UniRef90_Q14BN4,0.0,0.024082725511400317,0.022454052549729916,0.0,0.0,0.024544568269458746,0.0,0.02472797569394979
UniRef90_A0A4X1SUW3,0.018541091767707282,0.020007930155410653,0.0,0.007000573174016262,0.0,0.0,0.0,0.017773632145847068
UniRef90_A0A2I3GEF5,0.009267289900176029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UniRef90_P14632,0.0,0.009540866891729564,0.0,0.0,0.010664656654814086,0.0,0.0,0.006328926950755347
UniRef90_I3L1U4,0.03189472155513204,0.01396947891121296,0.0,0.0,0.0,0.0,0.0,0.012650324539938274
UniRef90_A0A0G2K0F5,0.0,0.009541354174657585,0.0,0.0,0.0,0.0,0.0,0.0
UniRef90_A0A4X1W858,0.0,0.016898785735261445,0.0,0.0,0.0,0.0,0.0,0.025900096935184188
UniRef90_P10636,0.025288650991747146,0.013967690503104268,0.0,0.023272864851418,0.0,0.0,0.02664823909232623,0.0
UniRef90_P61221,0.0,0.012039791676714418,0.0,0.0,0.0,0.0,0.0,0.0
UniRef90_Q07820,0.013566318339795975,0.01804526079360467,0.0276653797615551,0.0,0.01344739055710685,0.02961667767829683,0.0,0.0
