From	To
D3ZN27	Dnajc13
Z4YJW6	Plekhm2
M0QWV0	Tmem161a
A0A0G2K7Y5	Trip10
Q3UJK4	Gtpbp2
B4DP62	SLC25A1
Q8WYA6	CTNNBL1
A0A0G2JGL8	Dhx30
P28072	PSMB6
P48728	AMT
P50120	RBP2
B1AKN6	NFIA
O43678	NDUFA2
Q86WG5	SBF2
Q8N9U0	TC2N
A0A1W2PQK2	GNAO1
Q5TD97	FHL5
A2AN84	Mpp1
Q5QJE6	DNTTIP2
E9Q9B8	Clu
H0Y770	DEPDC5
O19004	ARAF
J3KTF5	ECSIT
P47879	Igfbp4
A0A087WRE8	Clasp1
Q8C605	Pfkp
Q9DBV7	Nfya
P12246	Apcs
B1AZ15	Cobll1
E7EUS6	ITM2C
G8JLH6	CD9
D4A6X1	Dysf
Q9UGN4	CD300A
Q9JKV5	Scamp4
Q9JHJ3	Glmp
Q8TD08	MAPK15
P97865	Pex7
Q4KLZ1	Tmem186
Q8BT60	Cpne3
K7GSL3	OGT
Q9H7F0	ATP13A3
A2AKJ6	Sdcbp
F1RWM3	STARD3
O00470	MEIS1
F1SJI1	SCLY
Q6N022	TENM4
Q02780	Nfia
Q92542	NCSTN
A0A0H2UHZ4	Zranb2
A0A0G2JDK3	Rabggtb
Q15008	PSMD6
Q8IUG5	MYO18B
U3KQK2	TPM2
C9K080	LRIG3
A0A1W2P7W3	Ptprb
F6ZRK3	Slc1a2
P51912	Slc1a5
A0A0G2JX47	Col5a1
F8VWQ0	SLC25A3
H7BYH4	SOD1
S4R1B8	Bin2
M0RAX4	Gnb5
I3LN63	MRPL54
F1SDY7	EML5
F8VPV0	Pcnt
D3ZL11	Rbsn
O88792	F11r
A0A1W2Q6D5	Fhod3
D3ZFH5	Itih2
Q07020	RPL18
F1LZ43	Dip2a
P27449	ATP6V0C
A1EC95	Heatr6
B1AQZ0	Septin8
F2Z521	PAFAH1B1
Q8BIW9	Chtf18
F1RSN2	GPAA1
B1APF8	PRKACB
A0A0J9YVJ0	Mgam
F1RV17	CEP112
A0A0G2K0B2	LOC100911769
Q91VU6	Dcaf11
A0A140T8R8	Dcun1d1
A0A0G2JEQ9	Snx8
Q9NWS0	PIH1D1
A0A087WWD4	NCAM1
F1LYZ8	Ppp1r21
F8VZQ1	PFKM
Q9BV19	C1orf50
Q4V8F9	Hsdl2
Q96CP2	FLYWCH2
D4A565	Ndufb5
O60306	AQR
Q642K5	Fau
E9PUK2	Adck5
G3V614	Kif1bp
Q68DW7	STAG1
G3V2G6	RDH11
E5RIR0	FABP4
Q9Z2P4	Rgcc
Q7M6W1	Rtn1
E7EQ12	CAST
P98086	C1qa
D3Z9E7	Dpf3
F1SGC0	FGD4
J3QSB2	ERAL1
D3ZBB8	Dync2h1
H3BRL0	BBS2
O46427	CTSH
P83888	Tubg1
P24452	Capg
Q9Y5L0	TNPO3
A0A087WS31	Dnpep
P10909	CLU
Q9UBU8	MORF4L1
F1RT87	RAB2A
F1S091	RAB8B
D3ZZR4	Fem1c
I3LLV6	MIB1
Q9H900	ZWILCH
F1S736	SHPRH
I3L348	DPEP2
F8WHB5	Camk2a
Q01063	Pde4d
D3Z100	Fam98c
Q9UI30	TRMT112
Q9QX80	Hnrnpab
Q9H9Y6	POLR1B
F1SRM3	RETREG1
I3LBW5	PIN4
S4R294	Prrc2c
I3LUY1	LPP
Q9JI44	Dmap1
H0YM16	PLIN1
Q61268	Apoc4
E9Q907	Ctnnd1
E5RFQ2	LAMA4
O15121	DEGS1
Q8C5W3	Tbcel
M0QW65	Asnsd1
A0A286ZVT6	NUCB1
A0A087X243	GSTP1
K7ER94	FHOD3
A0A0B4J1W6	DMD
Q9Z1Z0	Uso1
P49750	YLPM1
Q96CU9	FOXRED1
Q8K2D3	Edc3
Q9WUC4	Atox1
Q09428	ABCC8
A0A087X060	EAPP
E9PY14	Cenpf
A0A024BTL2	PHKG1
Q99700	ATXN2
Q4ZHG4	FNDC1
Q9WTK2	Cdyl
A0A067XG53	Cask
Q6P3V9	Rpl4
O88939	Zbtb7a
H3BK96	Hnrnpk
Q62703	Rcn2
M0R081	CLEC11A
Q96EU7	C1GALT1C1
D3ZPR0	Cse1l
B1WC85	Wdr92
P84243	H3-3A
P84243	H3-3B
P35171	Cox7a2
Q9NTJ3	SMC4
F1SRD2	ANO10
C9JB63	ECI2
Q13547	HDAC1
Q4VAE3	Tmem65
A0A0A0MTJ5	ROR1
Q02589	Adprh
I3LIL4	MYO1C
F1SQH6	MSH2
A0A5G2REE1	MPC2
P40124	Cap1
O95865	DDAH2
C9JAK5	ARF4
C9K0M0	HADHB
Q99959	PKP2
Q8BIG7	Comtd1
H9KVF3	Stk24
M0R7T2	Alkbh7
K7EPR5	PRKAR1A
D3ZZW2	Tma7
P45952	Acadm
Q9JMH3	Neu2
A0A140T921	HLA-C
Q5ST81	TUBB
F6QIG2	Tead1
P56656	Cyp2c39
A0A0G2JQD0	LSS
D6RFU2	Abhd12
B2RZ08	Tmem263
H7BX99	F2
Q9BRK3	MXRA8
Q8BW00	Ptrh1
A0A140UHX6	Sptb
A0A0G2K3Q6	Aldoc
F1STI9	ENDOD1
A0A087WTE8	ANK3
Q61249	Igbp1
C9JQ90	BDH1
Q8BIF9	Znf787
A0A0A6YY22	Cyb561d2
A2A9W7	Gga3
O15269	SPTLC1
A0A5G2QQW0	MCU
Q8BKR5	Ppp1r37
G3V621	Slc16a10
H0Y9Q1	LAP3
F1SJP2	TRAK1
E9PX48	Dock7
A0A1L1SUA9	Fxyd2
Q8CAF4	Nhsl1
Q04646	Fxyd2
I3LMI1	GUCY1B1
M0QX76	RPS16
F1RR85	SLC27A4
F1S4J0	FAM114A1
A0A5S8KY97	EIF4A3
K7ES98	ARHGAP45
F1RYY7	GATD1
F2Z5Q3	COPS7A
Q3UMR5	Mcu
I3LGC0	PPP2R5E
A2AKQ0	Slc35d1
Q922A3	Tars2
P01859	IGHG2
H3BS02	BCKDK
S4R211	Ccser2
K7EK77	ATP5F1A
B4DEM9	POLDIP2
C9JFM5	STX4
I3LEN9	SLC12A4
G3V8B8	Dnajc7
Q9DC40	Telo2
I3LDK7	CDK17
A0A287BQT2	ACO1
F8VQJ3	Lamc1
I3L7R7	STX18
Q5FVQ6	MGC108823
D4A1J6	Ankfy1
I3LQ03	KIF16B
F1SII5	INMT
Q9CZR2	Naalad2
F1RIF3	FAH
D3ZVS6	Kbtbd2
O35260	Nacc1
A0A087WSK7	Gm28778
K7GSM4	ARFGEF1
D3Z1T2	2310009B15Rik
D4A0W1	Emc4
O15247	CLIC2
A0A5K1U110	VEZF1
D3Z7A7	Fmnl3
A0A287A358	STRADB
P56280	Tcl1a
H3BKR2	Gnb1
Q9Z256	P2rx4
A0A5G2QJQ6	COPS7A
G3UWN5	Apoe
F1S9X3	PPP1R13B
Q1HAQ0	Lpcat1
Q60855	Ripk1
A0A287AVV2	VDAC1
E9PNA0	SIRT3
P19157	Gstp1
Q5BJP6	Gfm2
F8VTT5	PFKM
Q4AEG0	Gp9
A0A5G2QKW6	NDUFAF5
Q9DB10	Smdt1
Q99KE1	Me2
D3ZKQ0	Nudt15
Q96JA1	LRIG1
F1S0W4	PRRC2B
Q9Z2Q7	Stx8
A0A0G2JSR1	LOC100911881
F8WHQ0	Cmc2
I3LRU1	RHPN2
F1SSQ5	SPAG16
Q5I0M3	Cfhr1
Q9Z2A9	Ggt5
F1S001	MRPS2
O75891	ALDH1L1
B4DEP1	ADSL
I3LJP1	QRICH2
A0A075B728	PECAM1
P59280	Klhl8
Q08493	PDE4C
A0A0J9YXM3	GPI
A0A075B5L2	Igkv4-91
Q9Y6M9	NDUFB9
Q8C2Q7	Hnrnph1
Q61160	Fadd
F6VCX5	PHKG1
P05107	ITGB2
Q60876	Eif4ebp1
F1SMB6	C11orf1
F1SDI6	INPP5A
Q99J45	Nrbp1
Q920A7	Afg3l1
Q5U211	Snx3
F1LRV6	Gmpr
Q6P5Z2	PKN3
A2CF65	Clec10a
F1RZY9	METRNL
P83884	RPL36A
P01901	H2-K1
A2AS98	Nckap1
Q8CI94	Pygb
Q9H9L3	ISG20L2
A0A287BMX7	LIMCH1
P0C2C4	Mrpl10
A8DUK4	Hbb-bs
I3LAS8	RAF1
K7EKH9	GFAP
P57722	Pcbp3
Q9NYL2	MAP3K20
B1WBZ7	Gpn1
E7ES10	CAST
A5HKJ3	Pomp
F1S227	PTRH2
P54844	Maf
F1RM42	IRF2BP1
P61769	B2M
A0A286ZYL7	ATP5F1D
F1RGE0	DND1
Q3SWS8	Rae1
F6PSJ3	APOC2
O95487	SEC24B
J3KS93	EIF4A1
P27482	CALML3
D3YWT1	Hnrnph3
Q61171	Prdx2
G3V6D9	Slc9a3r2
Q498U6	Dffa
