From	To
P53621	UniRef90_P53621
O88587	UniRef90_P22734
E7ETB4	UniRef90_E7ETB4
A0A286ZR74	UniRef90_E1BEQ5
F1RP01	UniRef90_P50904
D3ZZ37	UniRef90_D3ZZ37
Q61029	UniRef90_Q61029
C9JAV2	UniRef90_A0A0C4DFQ9
Q99P75	UniRef90_Q9R0M6
C9JY20	UniRef90_P51114
Q920A5	UniRef90_Q920A5
Q9CQN1	UniRef90_Q5XHZ0
Q9JMG1	UniRef90_Q9JMG1
O88384	UniRef90_O88384
Q8WYL5	UniRef90_Q8WYL5
Q9WTP2	UniRef90_Q9WTP2
F1REW9	UniRef90_Q2HJ47
A0A0B4J230	UniRef90_A0A0B4J230
Q86XE2	UniRef90_Q6P996-2
Q566Q7	UniRef90_Q566Q7
Q6QGC0	UniRef90_Q6QGC0
Q5XXA6	UniRef90_Q5XXA6
H3BV90	UniRef90_H3BV90
P21533	UniRef90_P21533
E9PHI4	UniRef90_A0A2K5YIR0
E9PX89	UniRef90_E9PX89
Q5JR95	UniRef90_Q5JR95
P49770	UniRef90_P49770
F1RGL0	UniRef90_A0A2Y9M340
E7ERH2	UniRef90_P63208
E5RHF3	UniRef90_Q16363
P15151	UniRef90_P15151
A0A0G2K1N8	UniRef90_A0A0G2K1N8
Q99MR6	UniRef90_Q99MR6
H0YJG0	UniRef90_H0YJG0
B5DEH0	UniRef90_Q9QXD8
F1S771	UniRef90_M3Y6N9
Q9HB97	UniRef90_Q9EPC1
F8VWK8	UniRef90_P08962
Q4FZT0	UniRef90_Q99JB2
Q712U6	UniRef90_P56211
P60905	UniRef90_P60904
F1SMI2	UniRef90_Q13049
Q9Y5Y7	UniRef90_Q9Y5Y7
E9PJ75	UniRef90_G1PXC3
A0A5G2QYV6	UniRef90_A0A337SGM5
A0A1B0GVE7	UniRef90_A0A1B0GU62
F1RVC2	UniRef90_A0A3Q2KJU5
P70333	UniRef90_P55795
Q9DC29	UniRef90_Q9DC29
Q6AXW1	UniRef90_Q6AXW1
P53004	UniRef90_P53004
Q767K8	UniRef90_Q767K8
D6RG00	UniRef90_D6RG00
D6RGK9	UniRef90_A0A8C0NTW2
Q14692	UniRef90_Q14692
F1LQP9	UniRef90_Q92973
Q8BYY4	UniRef90_Q8BYY4
Q9UJW0	UniRef90_Q9UJW0
Q9H2U1	UniRef90_Q9H2U1
A0A087X0W8	UniRef90_A0A087X0W8
E7ENU7	UniRef90_E7ENU7
Q8VCE2	UniRef90_Q9HCN4
Q9QYI4	UniRef90_Q9QYI4
F1RQY4	UniRef90_A0A4W2GYF0
Q8C1D8	UniRef90_Q8C1D8
Q8BW96	UniRef90_Q8BW96
Q9ES34	UniRef90_Q9ES34
F1SSE6	UniRef90_M3X7Q7
P28347	UniRef90_P28347
Q9BYV6	UniRef90_Q9BYV6
H0YI43	UniRef90_H0YI43
F2Z2S2	UniRef90_F2Z2S2
P01837	UniRef90_P01837
K7ELU6	UniRef90_K7ELU6
H7C2X4	UniRef90_H7C2X4
Q4V7D1	UniRef90_Q7TPJ0
Q9NVE5	UniRef90_Q9NVE5
P33908	UniRef90_P33908
E9QNY3	UniRef90_E9QNY3
Q3V5X8	UniRef90_Q3V5X8
A0A0A0MQ68	UniRef90_Q60759
Q71UE8	UniRef90_Q15843
Q969R2	UniRef90_Q969R2
D3ZQL3	UniRef90_D3ZQL3
Q56VL3	UniRef90_Q56VL3
A0A0G2K586	UniRef90_Q9R290
E9QP59	UniRef90_Q9WU40
Q96HJ9	UniRef90_Q96HJ9
C9J8B8	UniRef90_Q969S8
M0RC99	UniRef90_P20339
Q5M9G1	UniRef90_Q8R409
A0A288CFT0	UniRef90_Q5E956
Q12988	UniRef90_Q12988
D3Z950	UniRef90_O00231
